"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"1",1,60,"RL",65,8450,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","TA","No","GLQ",706,"Unf",0,150,856,"GasA","Ex","Y","SBrkr",856,854,0,1710,1,0,2,1,3,1,"Gd",8,"Typ",0,NA,"Attchd",2003,"RFn",2,548,"TA","TA","Y",0,61,0,0,0,0,NA,NA,NA,0,2,2008,"WD","Normal",208500
"2",2,20,"RL",80,9600,"Pave",NA,"Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",978,"Unf",0,284,1262,"GasA","Ex","Y","SBrkr",1262,0,0,1262,0,1,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"RFn",2,460,"TA","TA","Y",298,0,0,0,0,0,NA,NA,NA,0,5,2007,"WD","Normal",181500
"3",3,60,"RL",68,11250,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA","Mn","GLQ",486,"Unf",0,434,920,"GasA","Ex","Y","SBrkr",920,866,0,1786,1,0,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd",2001,"RFn",2,608,"TA","TA","Y",0,42,0,0,0,0,NA,NA,NA,0,9,2008,"WD","Normal",223500
"4",4,70,"RL",60,9550,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","ALQ",216,"Unf",0,540,756,"GasA","Gd","Y","SBrkr",961,756,0,1717,1,0,1,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd",1998,"Unf",3,642,"TA","TA","Y",0,35,272,0,0,0,NA,NA,NA,0,2,2006,"WD","Abnorml",140000
"5",5,60,"RL",84,14260,"Pave",NA,"IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","TA","Av","GLQ",655,"Unf",0,490,1145,"GasA","Ex","Y","SBrkr",1145,1053,0,2198,1,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",2000,"RFn",3,836,"TA","TA","Y",192,84,0,0,0,0,NA,NA,NA,0,12,2008,"WD","Normal",250000
"6",7,20,"RL",75,10084,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","TA","Av","GLQ",1369,"Unf",0,317,1686,"GasA","Ex","Y","SBrkr",1694,0,0,1694,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2004,"RFn",2,636,"TA","TA","Y",255,57,0,0,0,0,NA,NA,NA,0,8,2007,"WD","Normal",307000
"7",9,50,"RM",51,6120,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,952,952,"GasA","Gd","Y","FuseF",1022,752,0,1774,0,0,2,0,2,2,"TA",8,"Min1",2,"TA","Detchd",1931,"Unf",2,468,"Fa","TA","Y",90,0,205,0,0,0,NA,NA,NA,0,4,2008,"WD","Abnorml",129900
"8",10,190,"RL",50,7420,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","GLQ",851,"Unf",0,140,991,"GasA","Ex","Y","SBrkr",1077,0,0,1077,1,0,1,0,2,2,"TA",5,"Typ",2,"TA","Attchd",1939,"RFn",1,205,"Gd","TA","Y",0,4,0,0,0,0,NA,NA,NA,0,1,2008,"WD","Normal",118000
"9",11,20,"RL",70,11200,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec",906,"Unf",0,134,1040,"GasA","Ex","Y","SBrkr",1040,0,0,1040,1,0,1,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1965,"Unf",1,384,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,2,2008,"WD","Normal",129500
"10",12,60,"RL",85,11924,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","GLQ",998,"Unf",0,177,1175,"GasA","Ex","Y","SBrkr",1182,1142,0,2324,1,0,3,0,4,1,"Ex",11,"Typ",2,"Gd","BuiltIn",2005,"Fin",3,736,"TA","TA","Y",147,21,0,0,0,0,NA,NA,NA,0,7,2006,"New","Partial",345000
"11",13,20,"RL",NA,12968,"Pave",NA,"IR2","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",737,"Unf",0,175,912,"GasA","TA","Y","SBrkr",912,0,0,912,1,0,1,0,2,1,"TA",4,"Typ",0,NA,"Detchd",1962,"Unf",1,352,"TA","TA","Y",140,0,0,0,176,0,NA,NA,NA,0,9,2008,"WD","Normal",144000
"12",14,20,"RL",91,10652,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1494,1494,"GasA","Ex","Y","SBrkr",1494,0,0,1494,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2006,"RFn",3,840,"TA","TA","Y",160,33,0,0,0,0,NA,NA,NA,0,8,2007,"New","Partial",279500
"13",15,20,"RL",NA,10920,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","BLQ",733,"Unf",0,520,1253,"GasA","TA","Y","SBrkr",1253,0,0,1253,1,0,1,1,2,1,"TA",5,"Typ",1,"Fa","Attchd",1960,"RFn",1,352,"TA","TA","Y",0,213,176,0,0,0,NA,"GdWo",NA,0,5,2008,"WD","Normal",157000
"14",16,45,"RM",51,6120,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,832,832,"GasA","Ex","Y","FuseA",854,0,0,854,0,0,1,0,2,1,"TA",5,"Typ",0,NA,"Detchd",1991,"Unf",2,576,"TA","TA","Y",48,112,0,0,0,0,NA,"GdPrv",NA,0,7,2007,"WD","Normal",132000
"15",18,90,"RL",72,10791,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab",NA,NA,NA,NA,0,NA,0,0,0,"GasA","TA","Y","SBrkr",1296,0,0,1296,0,0,2,0,2,2,"TA",6,"Typ",0,NA,"CarPort",1967,"Unf",2,516,"TA","TA","Y",0,0,0,0,0,0,NA,NA,"Shed",500,10,2006,"WD","Normal",90000
"16",19,20,"RL",66,13695,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ",646,"Unf",0,468,1114,"GasA","Ex","Y","SBrkr",1114,0,0,1114,1,0,1,1,3,1,"Gd",6,"Typ",0,NA,"Detchd",2004,"Unf",2,576,"TA","TA","Y",0,102,0,0,0,0,NA,NA,NA,0,6,2008,"WD","Normal",159000
"17",21,60,"RL",101,14215,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1158,1158,"GasA","Ex","Y","SBrkr",1158,1218,0,2376,0,0,3,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2005,"RFn",3,853,"TA","TA","Y",240,154,0,0,0,0,NA,NA,NA,0,11,2006,"New","Partial",325300
"18",22,45,"RM",57,7449,"Pave","Grvl","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,637,637,"GasA","Ex","Y","FuseF",1108,0,0,1108,0,0,1,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd",1930,"Unf",1,280,"TA","TA","N",0,0,205,0,0,0,NA,"GdPrv",NA,0,6,2007,"WD","Normal",139400
"19",23,20,"RL",75,9742,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2002,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1777,1777,"GasA","Ex","Y","SBrkr",1795,0,0,1795,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2002,"RFn",2,534,"TA","TA","Y",171,159,0,0,0,0,NA,NA,NA,0,9,2008,"WD","Normal",230000
"20",24,120,"RM",44,4224,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",840,"Unf",0,200,1040,"GasA","TA","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"Unf",2,572,"TA","TA","Y",100,110,0,0,0,0,NA,NA,NA,0,6,2007,"WD","Normal",129900
"21",29,20,"RL",47,16321,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1957,1997,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Gd","BLQ",1277,"Unf",0,207,1484,"GasA","TA","Y","SBrkr",1600,0,0,1600,1,0,1,0,2,1,"TA",6,"Typ",2,"Gd","Attchd",1957,"RFn",1,319,"TA","TA","Y",288,258,0,0,0,0,NA,NA,NA,0,12,2006,"WD","Normal",207500
"22",30,30,"RM",60,6324,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","BrkSide","Feedr","RRNn","1Fam","1Story",4,6,1927,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,520,520,"GasA","Fa","N","SBrkr",520,0,0,520,0,0,1,0,1,1,"Fa",4,"Typ",0,NA,"Detchd",1920,"Unf",1,240,"Fa","TA","Y",49,0,87,0,0,0,NA,NA,NA,0,5,2008,"WD","Normal",68500
"23",31,70,"C (all)",50,8500,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story",4,4,1920,1950,"Gambrel","CompShg","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf",0,"Unf",0,649,649,"GasA","TA","N","SBrkr",649,668,0,1317,0,0,1,0,3,1,"TA",6,"Typ",0,NA,"Detchd",1920,"Unf",1,250,"TA","Fa","N",0,54,172,0,0,0,NA,"MnPrv",NA,0,7,2008,"WD","Normal",40000
"24",32,20,"RL",NA,8544,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1966,2006,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1228,1228,"GasA","Gd","Y","SBrkr",1228,0,0,1228,0,0,1,1,3,1,"Gd",6,"Typ",0,NA,"Attchd",1966,"Unf",1,271,"TA","TA","Y",0,65,0,0,0,0,NA,"MnPrv",NA,0,6,2008,"WD","Normal",149350
"25",33,20,"RL",85,11049,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1234,1234,"GasA","Ex","Y","SBrkr",1234,0,0,1234,0,0,2,0,3,1,"Gd",7,"Typ",0,NA,"Attchd",2007,"RFn",2,484,"TA","TA","Y",0,30,0,0,0,0,NA,NA,NA,0,1,2008,"WD","Normal",179900
"26",35,120,"RL",60,7313,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","Ex","TA","No","GLQ",1153,"Unf",0,408,1561,"GasA","Ex","Y","SBrkr",1561,0,0,1561,1,0,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd",2005,"Fin",2,556,"TA","TA","Y",203,47,0,0,0,0,NA,NA,NA,0,8,2007,"WD","Normal",277500
"27",36,60,"RL",108,13418,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",132,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1117,1117,"GasA","Ex","Y","SBrkr",1132,1320,0,2452,0,0,3,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2004,"Fin",3,691,"TA","TA","Y",113,32,0,0,0,0,NA,NA,NA,0,9,2006,"WD","Normal",309000
"28",40,90,"RL",65,6040,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","Duplex","1Story",4,5,1955,1955,"Gable","CompShg","AsbShng","Plywood","None",0,"TA","TA","PConc",NA,NA,NA,NA,0,NA,0,0,0,"GasA","TA","N","FuseP",1152,0,0,1152,0,0,2,0,2,2,"Fa",6,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"N",0,0,0,0,0,0,NA,NA,NA,0,6,2008,"WD","AdjLand",82000
"29",41,20,"RL",84,8658,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1965,1965,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,"TA","TA","CBlock","TA","TA","No","Rec",643,"Unf",0,445,1088,"GasA","Ex","Y","SBrkr",1324,0,0,1324,0,0,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1965,"RFn",2,440,"TA","TA","Y",0,138,0,0,0,0,NA,"GdWo",NA,0,12,2006,"WD","Abnorml",160000
"30",42,20,"RL",115,16905,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","Gd","BLQ",967,"Unf",0,383,1350,"GasA","Gd","Y","SBrkr",1328,0,0,1328,0,1,1,1,2,1,"TA",5,"Typ",2,"Gd","Attchd",1959,"RFn",1,308,"TA","TA","P",0,104,0,0,0,0,NA,NA,NA,0,7,2007,"WD","Normal",170000
"31",43,85,"RL",NA,9180,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Av","ALQ",747,"LwQ",93,0,840,"GasA","Gd","Y","SBrkr",884,0,0,884,1,0,1,0,2,1,"Gd",5,"Typ",0,NA,"Attchd",1983,"RFn",2,504,"TA","Gd","Y",240,0,0,0,0,0,NA,"MnPrv",NA,0,12,2007,"WD","Normal",144000
"32",44,20,"RL",NA,9200,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,6,1975,1980,"Hip","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","TA","Av","LwQ",280,"BLQ",491,167,938,"GasA","TA","Y","SBrkr",938,0,0,938,1,0,1,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1977,"Unf",1,308,"TA","TA","Y",145,0,0,0,0,0,NA,"MnPrv",NA,0,7,2008,"WD","Normal",130250
"33",45,20,"RL",70,7945,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",179,"BLQ",506,465,1150,"GasA","Ex","Y","FuseA",1150,0,0,1150,1,0,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1959,"RFn",1,300,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,5,2006,"WD","Normal",141000
"34",48,20,"FV",84,11096,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",24,"Unf",0,1632,1656,"GasA","Ex","Y","SBrkr",1656,0,0,1656,0,0,2,0,3,1,"Gd",7,"Typ",0,NA,"Attchd",2006,"RFn",3,826,"TA","TA","Y",0,146,0,0,0,0,NA,NA,NA,0,7,2007,"WD","Normal",249700
"35",50,20,"RL",66,7742,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,7,1966,1966,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",763,"Unf",0,192,955,"GasA","Ex","Y","SBrkr",955,0,0,955,1,0,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1966,"Unf",1,386,"TA","TA","Y",0,0,0,0,0,0,NA,"MnPrv",NA,0,1,2007,"WD","Normal",127000
